itemImage,itemKind,toolKind,seedKind,weaponKind,itemName,itemInfo,buyPrice,sellPrice,waterAmount,indexX,indexY,amount,isFrame
¾¾¾Ñ,6,0,15,0,È© ¾¾¾Ñ,È© ¾¾¾Ñ,25,15,0,0,0,1,1
¾¾¾Ñ,6,0,3,0,¹« ¾¾¾Ñ,¹« ¾¾¾Ñ,40,25,0,1,0,1,1
¾¾¾Ñ,6,0,11,0,¹Ð ¾¾¾Ñ,¹Ð ¾¾¾Ñ,10,5,0,2,0,1,1
¾¾¾Ñ,6,0,1,0,Åä¸¶Åä ¾¾¾Ñ,Åä¸¶Åä ¾¾¾Ñ,50,40,0,3,0,1,1
¾¾¾Ñ,6,0,8,0,¿ÏµÎÄá ¾¾¾Ñ,¿ÏµÎÄá ¾¾¾Ñ,40,30,0,4,0,1,1
¾¾¾Ñ,6,0,9,0,¸á·Ð ¾¾¾Ñ,¸á·Ð ¾¾¾Ñ,80,60,0,5,0,1,1
¾¾¾Ñ,6,0,5,0,¾ç±Íºñ ¾¾¾Ñ,¾ç±Íºñ ¾¾¾Ñ,140,120,0,6,0,1,1
¾¾¾Ñ,6,0,14,0,¿©¸§º°²É ¾¾¾Ñ,¿©¸§º°²É ¾¾¾Ñ,90,75,0,7,0,1,1
¾¾¾Ñ,6,0,2,0,°íÃß ¾¾¾Ñ,°íÃß ¾¾¾Ñ,90,75,0,0,1,1,1
¾¾¾Ñ,6,0,13,0,¿Á¼ö¼ö ¾¾¾Ñ,¿Á¼ö¼ö ¾¾¾Ñ,155,130,0,1,1,1,1
¾¾¾Ñ,6,0,10,0,ºí·çº£¸® ¾¾¾Ñ,ºí·çº£¸® ¾¾¾Ñ,80,60,0,2,1,1,1
¾¾¾Ñ,6,0,6,0,ÇØ¹Ù¶ó±â ¾¾¾Ñ,ÇØ¹Ù¶ó±â ¾¾¾Ñ,80,60,0,3,1,1,1
¾¾¾Ñ,6,0,12,0,Àû¾ç¹èÃß ¾¾¾Ñ,Àû¾ç¹èÃß ¾¾¾Ñ,100,80,0,4,1,1,1
¾¾¾Ñ,6,0,7,0,Æ÷µµ ¾¾¾Ñ,Æ÷µµ ¾¾¾Ñ,150,125,0,5,1,1,1
¾¾¾Ñ,6,0,4,0,½ºÅ¸ÈÄ¸£Ã÷ ¾¾¾Ñ,½ºÅ¸ÈÄ¸£Ã÷ ¾¾¾Ñ,400,250,0,6,1,1,1
